Date,Week_By_Year,Month,Year,Broker_Name,Grade,Factory_Name,Low_Price,Max_Price,MF,Median_Price,Lowest_Quantity,Max_Quantity,Total_Sale,Total_Quantity,Average_Price,Median_Quantity,Average_Quantity
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,BOPSP,POTHOTUWA,340,340,BF 0138,340,1380,1380,469200,1380,340,1380,1380
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,BOPA,POTHOTUWA,365,365,BF 0138,365,380,380,138700,380,365,380,380
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,FBOPF,POTHOTUWA,360,620,BF 0138,490,500,1000,800000,1500,490,750,750
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,BOP,POTHOTUWA,500,510,BF 0138,505,490,1530,1014900,2020,505,1010,1010
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,FBOPFSP,POTHOTUWA,640,640,BF 0138,640,1125,1125,720000,1125,640,1125,1125
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,BOP1A,POTHOTUWA,345,345,BF 0138,345,260,260,89700,260,345,260,260
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,FBOPFEXSP,POTHOTUWA,570,570,BF 0138,570,216,216,123120,216,570,216,216
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,FBOPFEXSP1,POTHOTUWA,670,670,BF 0138,670,480,480,321600,480,670,480,480
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,OP,POTHOTUWA,400,400,BF 0138,400,300,300,120000,300,400,300,300
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,OPA,POTHOTUWA,425,425,BF 0138,425,270,270,114750,270,425,270,270
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,BOP1,POTHOTUWA,400,500,BF 0138,410,380,800,863600,1940,436.6666667,760,646.6666667
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,OP1,POTHOTUWA,370,430,BF 0138,400,320,660,402200,980,400,490,490
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,FBOP,POTHOTUWA,435,500,BF 0138,467.5,400,440,394000,840,467.5,420,420
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,FBOPF1,POTHOTUWA,440,550,BF 0138,520,430,900,1152200,2230,503.3333333,900,743.3333333
1/6/2016,2,1,2016,FORBES & WALKER TEA BROKERS (PVT) LTD,PEK1,POTHOTUWA,460,540,BF 0138,480,400,900,1081200,2180,493.3333333,880,726.6666667
